type,ant,mui,mantine,other,notes
button,Button,Button,Button,Chakra: Button; Fluent UI: Button,Primary/secondary/disabled/loading variants.
icon_button,Button (icon-only) or FloatButton,IconButton,ActionIcon,Chakra: IconButton,"Canonical = icon-only clickable button, often circular."
link,Typography.Link / <a>,Link,Anchor,Chakra: Link,Include visited/disabled/underline variants.
menu_button,Dropdown + Menu + Button,Button + Menu,Menu (Menu.Target + Button),Chakra: Menu,Button that opens a menu.
split_button,Dropdown.Button / Button.Group + Dropdown,ButtonGroup + Menu (SplitButton pattern),Group + Button + Menu,Chakra: Menu + ButtonGroup,Primary action + adjacent dropdown.
toolbar,Flex/Space + Buttons (composite),AppBar + Toolbar,Group / AppShell.Header + Group,Chakra: Action Bar / Stack + Buttons,Horizontal container of controls; often role=toolbar.
breadcrumb,Breadcrumb,Breadcrumbs,Breadcrumbs,Chakra: Breadcrumb,Hierarchical navigation.
pagination,Pagination,Pagination,Pagination,Chakra: Pagination,Page navigation control.
stepper,Steps,Stepper,Stepper,Chakra: Steps,Progress through ordered steps.
tabs,Tabs,Tabs,Tabs,Chakra: Tabs,Tablist/tabpanel pattern.
accordion,Collapse (accordion mode),Accordion,Accordion,Chakra: Accordion,Single/multi expand variants.
collapsible_disclosure,Collapse / Collapse.Panel,Collapse,Collapse / Spoiler (alt),Chakra: Collapsible,Show/hide region; not necessarily accordion.
carousel,Carousel,(no core) compose with SwipeableViews / external carousel,@mantine/carousel: Carousel,Chakra: Carousel,Swipe/arrow navigation; focusable controls.
feed_infinite_scroll,List + infinite load pattern (composite),List + onScroll (composite),ScrollArea + onScroll (composite),External: react-infinite-scroll-component,Benchmark the scroll-to-load interaction.
window_splitter,Splitter,(no core) external: react-resizable-panels / split.js,External/extension: @gfazioli/mantine-split-pane or react-resizable-panels,Chakra: Splitter,Resizable panes with draggable handle.
text_input,Input,TextField,TextInput,Chakra: Input,Single-line text.
textarea,Input.TextArea,TextField (multiline),Textarea,Chakra: Textarea,Multi-line text.
password_input,Input.Password,TextField (type=password) / OutlinedInput,PasswordInput,Chakra: Password Input,Masked entry + reveal toggle variant.
search_input,Input.Search / AutoComplete,TextField + InputAdornment / Autocomplete,TextInput (+ icon) / Autocomplete,Chakra: Input (+ icon),Often triggers suggestions/results.
number_input_spinbutton,InputNumber,Number Field (or TextField type=number),NumberInput,Chakra: Number Input,Includes stepper buttons.
masked_input,Input + mask library (react-input-mask),TextField + mask library,TextInput + mask library,Chakra: Input + mask library,Not typically first-party; evaluate typing + formatting.
pin_input_otp,(compose) multiple Inputs / third-party OTP input,(compose) multiple TextFields / third-party,PinInput,Chakra: Pin Input,Separated digits; auto-advance; paste handling.
tags_input,Select (mode=tags),"Autocomplete (multiple, freeSolo) + Chip",TagsInput / MultiSelect (creatable),Chakra: Combobox (multi) + Tag,Freeform multi-value tokens.
mentions_input,Mentions,(compose) TextField + Popper/Menu suggestions,(compose) Textarea + Menu/Popover suggestions,External: react-mentions,Trigger '@' suggestions and insert mention token.
inline_editable_text,Typography (editable),(compose) Typography + TextField,(compose) Text + TextInput,Chakra: Editable,In-place edit with confirm/cancel.
checkbox,Checkbox,Checkbox,Checkbox,Chakra: Checkbox,Binary toggle.
checkbox_tristate,Checkbox (indeterminate),Checkbox (indeterminate),Checkbox (indeterminate),Chakra: Checkbox (indeterminate),Checked/unchecked/mixed.
checkbox_group,Checkbox.Group,FormGroup + Checkbox,Checkbox.Group,Chakra: CheckboxGroup,Multiple checkboxes grouped.
radio_group,Radio.Group,RadioGroup,Radio.Group,Chakra: RadioGroup,Single choice from set.
switch,Switch,Switch,Switch,Chakra: Switch,Binary switch UI.
segmented_control,Segmented,ToggleButtonGroup (exclusive),SegmentedControl,Chakra: Segmented Control,Single selection in segmented UI.
toggle_button,Button (toggle state),ToggleButton,ActionIcon/Button (toggle state),Chakra: Toggle (via Button),Single toggleable button.
toggle_button_group_multi,(compose) Checkbox.Group styled as buttons,ToggleButtonGroup (multiple),(compose) Chips/Checkboxes styled,Chakra: CheckboxCard / ToggleGroup,Multi-select button group.
rating,Rate,Rating,Rating,Chakra: Rating,Star rating; small targets.
listbox_single,Menu (selectable) / List (select state),List + ListItemButton (selected),(compose) List/NavLink with selected state,Chakra: Listbox,Standalone listbox widget.
