template_id,description,examples
activate,Click/press to trigger an action; success via state/message/event.,"button click, link click, clipboard copy"
navigate_to,Navigate to a specific destination (tab/page/step/breadcrumb).,"go to page 5, switch to 'Settings' tab"
disclose,Expand/collapse disclosure to target state.,open accordion panel 'Advanced'
open_overlay,Open/close overlay (dialog/drawer/popover/tooltip) to target state.,"open modal, close drawer"
confirm_cancel,Respond to confirm/alert dialog.,click Confirm on Popconfirm
toggle_state,Set boolean/tri-state to requested value.,"switch on, checkbox indeterminate"
enter_text,Enter exact string and commit (blur/enter).,type email address
enter_formatted,Enter structured value as text; must parse/validate.,"type date '2026-03-15', hex '#FF5500'"
select_one,Select exactly one option from a set (visible or listbox).,"radio choice, segmented control"
select_many,Select multiple options (k-of-n).,"checkbox group, multi-select"
open_and_select,Open a popup/panel then select within it.,"open Select dropdown, choose item"
search_and_select,Type to filter/search options then select.,"autocomplete, searchable select"
set_scalar,Set scalar numeric/continuous value within tolerance.,"slider to 37, spinbutton to 12"
set_range,Set a pair of values within tolerance.,"range slider [20,80], date range"
match_reference,Match a reference state within tolerance.,"match color swatch, make two sliders equal"
clear_reset,Clear/reset component state.,"clear color, clear selected value"
hierarchical_path_select,Select by traversing hierarchy (tree/cascader path).,choose Electronics > Cameras
table_operation,Operate on a table/grid (sort/filter/paginate/select/edit).,"sort by Price desc, edit cell"
file_upload,Upload/select a file; validate file presence/metadata.,upload resume.pdf
file_manage,Remove/replace/reorder files in file list.,remove the uploaded file
drag_operation,Drag to reorder/move/resize; validate resulting order/size.,"resize splitter, reorder list"
editor_operation,Edit rich/code/markdown/json editor content.,"bold selection, insert code snippet"
scroll_find,"Scroll/virtualize until a target is visible, then interact.",scroll list until 'Item 50'
transfer_move,Move item(s) between containers (dual list / between columns).,move 'Alice' to Selected list
