axis_id,category,description,measurement,knobs,standards
min_target_size_px,geometry,Minimum unobscured target size among interactables in CSS pixels (min of width/height).,Compute bounding boxes of interactable elements; take min(side).,library size variants; CSS scale; custom padding; icon-only buttons,WCAG 2.5.8 Target Size (Minimum)
target_spacing_px,geometry,Minimum spacing / nearest-neighbor distance between targets (or non-overlap of 24px diameter circles).,Compute center distances or edge-to-edge distances between interactables; take minimum.,increase swatch count; reduce padding; compact variants,WCAG 2.5.8 spacing exception
fitts_id,geometry,Fitts index of difficulty log2(D/W+1) for pointing tasks.,"Define D from a standard start point (e.g., component center or last pointer); W = target width; compute ID.",move target farther; shrink width; reposition component,Fitts' Law
interactable_density,density,Interactables per area inside component bounding box.,Count interactables in component subtree; divide by area of component bbox.,increase options; reduce component size; multi-instance layouts,
option_count,density,Number of selectable options (n).,"Count list items, swatches, days, menu items, etc. (DOM-based).",add presets/options; larger calendars; deeper trees,
distractor_similarity,density,"Similarity among options (e.g., color distance between swatches, label edit distance).",Color: min ΔRGB/ΔE between target and nearest distractor; Text: edit distance or embedding similarity.,nearby shades; similar labels; same icons,
control_continuity,precision,Discrete vs continuous vs hybrid state space.,"Metadata tag; derived from component type/props (step, freeform).",step size; freeSolo; snap; drag-only vs text input,
state_dim,precision,Dimensionality of state (DoF).,"Metadata tag per canonical type (e.g., slider=1, range=2, RGBA=4).",enable alpha; add second handle; add time to date,
granularity,precision,Smallest increment / step size / quantization.,Read from props (step) or infer from allowed values.,step=1 vs 0.1; minute step; slider marks,
tolerance_norm,precision,Normalized acceptance tolerance in state space.,Compute tol/range (scalar); ΔRGB/441.7 (color); days/month range etc.,tighten tolerance; require exact match,
overlay_depth,depth,"Number of UI layers required (inline=0, popover=1, nested panels>=2).",Metadata tag; can be computed from required open operations and DOM layering.,use inline vs popover; add nested panels (year/month),
min_substeps,depth,"Minimum number of atomic actions to complete task (open, navigate, select, confirm).",Derive from scripted oracle policy or annotated per template+variant.,require switching panels; multi-step flows; confirm button,
scroll_required,depth,Whether scrolling/virtualization is required to access target.,Check if target off-screen at load; measure required scroll distance (px).,long lists; virtual lists; small viewport,
feedback_latency_ms,dynamics,Delay between action and observable state change.,Instrument timestamps around onChange/onChangeComplete and DOM updates.,debounce; transitions; async validation,
feedback_persistence,dynamics,How long feedback remains visible (toast vs inline).,Measure duration until DOM element disappears; or categorical tag.,toast duration; inline hints; animations,
reset_cost,dynamics,Cost to recover from mistakes (presence and efficiency of reset/undo).,Oracle steps to return to neutral state; include clear buttons.,allowClear; undo; confirm dialogs,
visual_state_visible,observability,Whether current state is explicitly visible (text/preview).,"Detect presence of value text, preview swatch, numeric label.",showText; hide labels; minimal UI,
a11y_richness,observability,"Accessibility semantics richness (roles, names, values in AX tree).",Count labeled nodes and value-bearing roles in subtree from accessibility snapshot.,aria-label/role completeness; labelledby; valueNow,ARIA APG patterns guidance
theme,context,Theme category (light/dark/high-contrast).,Metadata tag.,library theme switch; CSS variables,
contrast_ratio,context,Contrast ratio of key text/icons vs background.,Sample computed colors and compute WCAG contrast ratio; report min.,dark mode; low contrast variants; tinted backgrounds,WCAG 1.4.3 Contrast (Minimum)
placement_norm,context,Normalized placement of component in viewport and distance-to-edge.,"(cx/vw, cy/vh) and min distance to viewport edges.",place in corners/edges/center; responsive layouts,
component_scale,context,Rendered size of component bbox relative to baseline.,bbox area or width/height; normalize by baseline.,library size props; container width; CSS scale,
context_clutter,context,Number of other interactables visible (scene complexity).,Count interactables outside component subtree in viewport.,"add sidebar, table, filters; dashboard scenes",
instance_count,context,Number of same-type instances requiring disambiguation.,Count instances of canonical type on page.,duplicate components; similar labels; repeated sections,
